@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute action {0,1,2,3,4,5}

@data
1742,'2019/02/20 21:32:42:952',6,0.497572,0.504967,5
1743,'2019/02/20 21:32:42:964',6,0.496755,0.504056,5
1744,'2019/02/20 21:32:42:974',6,0.496755,0.504056,5
1745,'2019/02/20 21:32:42:988',6,0.496774,0.504922,5
1746,'2019/02/20 21:32:43:000',6,0.498338,0.50602,5
1747,'2019/02/20 21:32:43:010',6,0.498338,0.50602,5
1748,'2019/02/20 21:32:43:022',6,0.498331,0.505012,5
1749,'2019/02/20 21:32:43:032',6,0.498331,0.505012,5
1750,'2019/02/20 21:32:43:043',6,0.499064,0.506067,5
1751,'2019/02/20 21:32:43:054',6,0.499064,0.506067,5
1752,'2019/02/20 21:32:43:065',6,0.498324,0.504144,5
1753,'2019/02/20 21:32:43:077',6,0.497572,0.504967,5
1754,'2019/02/20 21:32:43:087',6,0.497572,0.504967,5
1755,'2019/02/20 21:32:43:098',6,0.49906,0.504188,5
1756,'2019/02/20 21:32:43:108',6,0.49906,0.504188,5
1757,'2019/02/20 21:32:43:120',6,0.499774,0.505103,5
1758,'2019/02/20 21:32:43:130',6,0.499774,0.505103,5
1759,'2019/02/20 21:32:43:142',6,0.499771,0.506114,5
1760,'2019/02/20 21:32:43:152',6,0.499771,0.506114,5
1761,'2019/02/20 21:32:43:164',6,0.499768,0.507284,5
1762,'2019/02/20 21:32:43:175',6,0.499771,0.506114,5
1763,'2019/02/20 21:32:43:185',6,0.499771,0.506114,5
1764,'2019/02/20 21:32:43:197',6,0.499771,0.506114,5
1765,'2019/02/20 21:32:43:207',6,0.499771,0.506114,5
1766,'2019/02/20 21:32:43:219',6,0.501157,0.50621,5
1767,'2019/02/20 21:32:43:229',6,0.501157,0.50621,5
1768,'2019/02/20 21:32:43:240',6,0.501817,0.508788,5
1769,'2019/02/20 21:32:43:251',6,0.501817,0.508788,5
1770,'2019/02/20 21:32:43:262',6,0.502512,0.508841,5
1771,'2019/02/20 21:32:43:273',6,0.502512,0.508841,5
1772,'2019/02/20 21:32:43:284',6,0.501817,0.508788,5
1773,'2019/02/20 21:32:43:295',6,0.502533,0.507484,5
1774,'2019/02/20 21:32:43:306',6,0.502533,0.507484,5
1775,'2019/02/20 21:32:43:320',6,0.503198,0.510457,5
1776,'2019/02/20 21:32:43:330',6,0.503198,0.510457,5
1777,'2019/02/20 21:32:43:342',6,0.503173,0.512248,5
1778,'2019/02/20 21:32:43:353',6,0.503173,0.512248,5
1779,'2019/02/20 21:32:43:364',6,0.503173,0.512248,5
1780,'2019/02/20 21:32:43:375',6,0.503148,0.514297,5
1781,'2019/02/20 21:32:43:386',6,0.503148,0.514297,5
1782,'2019/02/20 21:32:43:397',6,0.503927,0.510513,5
1783,'2019/02/20 21:32:43:408',6,0.503927,0.510513,5
1784,'2019/02/20 21:32:43:419',6,0.503223,0.508894,5
1785,'2019/02/20 21:32:43:429',6,0.503223,0.508894,5
1786,'2019/02/20 21:32:43:441',6,0.503868,0.51436,5
1787,'2019/02/20 21:32:43:451',6,0.503868,0.51436,5
1788,'2019/02/20 21:32:43:462',6,0.504683,0.510569,5
1789,'2019/02/20 21:32:43:474',6,0.506258,0.512488,5
1790,'2019/02/20 21:32:43:486',6,0.506258,0.512488,5
1791,'2019/02/20 21:32:43:496',6,0.506987,0.519668,5
1792,'2019/02/20 21:32:43:507',6,0.506987,0.519668,5
1793,'2019/02/20 21:32:43:518',6,0.505434,0.512427,5
1794,'2019/02/20 21:32:43:528',6,0.505434,0.512427,5
1795,'2019/02/20 21:32:43:540',6,0.50475,0.507638,5
1796,'2019/02/20 21:32:43:550',6,0.50475,0.507638,5
1797,'2019/02/20 21:32:43:561',6,0.50475,0.507638,5
1798,'2019/02/20 21:32:43:573',6,0.5063,0.510684,5
1799,'2019/02/20 21:32:43:584',6,0.5063,0.510684,5
1800,'2019/02/20 21:32:43:595',6,0.5063,0.510684,5
1801,'2019/02/20 21:32:43:605',6,0.5063,0.510684,5
1802,'2019/02/20 21:32:43:617',6,0.5063,0.510684,5
1803,'2019/02/20 21:32:43:627',6,0.5063,0.510684,5
1804,'2019/02/20 21:32:43:638',6,0.506342,0.509111,5
1805,'2019/02/20 21:32:43:651',6,0.506342,0.509111,5
1806,'2019/02/20 21:32:43:664',6,0.505586,0.506506,5
1807,'2019/02/20 21:32:43:675',6,0.507266,0.507796,5
1808,'2019/02/20 21:32:43:685',6,0.507266,0.507796,5
1809,'2019/02/20 21:32:43:697',6,0.50825,0.506659,5
1810,'2019/02/20 21:32:43:708',6,0.50825,0.506659,5
1811,'2019/02/20 21:32:43:718',6,0.50736,0.505581,5
1812,'2019/02/20 21:32:43:728',6,0.50736,0.505581,5
1813,'2019/02/20 21:32:43:740',6,0.505624,0.505483,5
1814,'2019/02/20 21:32:43:751',6,0.505662,0.504602,5
1815,'2019/02/20 21:32:43:761',6,0.505662,0.504602,5
1816,'2019/02/20 21:32:43:773',6,0.508354,0.504745,5
1817,'2019/02/20 21:32:43:783',6,0.508354,0.504745,5
1818,'2019/02/20 21:32:43:795',6,0.509357,0.504793,5
1819,'2019/02/20 21:32:43:805',6,0.509357,0.504793,5
1820,'2019/02/20 21:32:43:816',6,0.511491,0.505782,5
1821,'2019/02/20 21:32:43:827',6,0.511491,0.505782,5
1822,'2019/02/20 21:32:43:839',6,0.511491,0.505782,5
1823,'2019/02/20 21:32:43:849',6,0.511491,0.505782,5
1824,'2019/02/20 21:32:43:860',6,0.509414,0.504029,5
1825,'2019/02/20 21:32:43:872',6,0.507408,0.504697,5
1826,'2019/02/20 21:32:43:882',6,0.507408,0.504697,5
1827,'2019/02/20 21:32:43:893',6,0.5093,0.505681,5
1828,'2019/02/20 21:32:43:904',6,0.5093,0.505681,5
1829,'2019/02/20 21:32:43:915',6,0.514066,0.504989,5
1830,'2019/02/20 21:32:43:925',6,0.514066,0.504989,5
1831,'2019/02/20 21:32:43:937',6,0.51292,0.503504,5
1832,'2019/02/20 21:32:43:947',6,0.51292,0.503504,5
1833,'2019/02/20 21:32:43:959',6,0.510549,0.503415,5
1834,'2019/02/20 21:32:43:973',6,0.509414,0.504029,5
1835,'2019/02/20 21:32:43:983',6,0.509414,0.504029,5
1836,'2019/02/20 21:32:43:995',6,0.510423,0.504842,5
1837,'2019/02/20 21:32:44:006',6,0.510423,0.504842,5
1838,'2019/02/20 21:32:44:017',6,0.509472,0.503371,5
1839,'2019/02/20 21:32:44:027',6,0.509472,0.503371,5
1840,'2019/02/20 21:32:44:038',6,0.507551,0.502719,5
1841,'2019/02/20 21:32:44:050',6,0.506555,0.50389,5
1842,'2019/02/20 21:32:44:061',6,0.506555,0.50389,5
1843,'2019/02/20 21:32:44:072',6,0.504851,0.504555,5
1844,'2019/02/20 21:32:44:082',6,0.504851,0.504555,5
1845,'2019/02/20 21:32:44:093',6,0.502512,0.508841,5
1846,'2019/02/20 21:32:44:104',6,0.502512,0.508841,5
1847,'2019/02/20 21:32:44:115',6,0.502597,0.504415,5
1848,'2019/02/20 21:32:44:125',6,0.502597,0.504415,5
1849,'2019/02/20 21:32:44:137',6,0.501267,0.500831,5
1850,'2019/02/20 21:32:44:148',6,0.49978,0.503487,5
1851,'2019/02/20 21:32:44:159',6,0.49978,0.503487,5
1852,'2019/02/20 21:32:44:170',6,0.500474,0.50515,5
1853,'2019/02/20 21:32:44:180',6,0.500474,0.50515,5
1854,'2019/02/20 21:32:44:192',6,0.49978,0.503487,5
1855,'2019/02/20 21:32:44:202',6,0.49978,0.503487,5
1856,'2019/02/20 21:32:44:213',6,0.498324,0.504144,5
1857,'2019/02/20 21:32:44:224',6,0.498324,0.504144,5
1858,'2019/02/20 21:32:44:235',6,0.495848,0.50264,5
1859,'2019/02/20 21:32:44:246',6,0.495848,0.50264,5
1860,'2019/02/20 21:32:44:258',6,0.494884,0.502063,5
1861,'2019/02/20 21:32:44:268',6,0.493916,0.502558,5
1862,'2019/02/20 21:32:44:279',6,0.493916,0.502558,5
1863,'2019/02/20 21:32:44:291',6,0.491561,0.501944,5
1864,'2019/02/20 21:32:44:304',6,0.491561,0.501944,5
1865,'2019/02/20 21:32:44:315',6,0.49396,0.503188,5
1866,'2019/02/20 21:32:44:327',6,0.496755,0.504056,5
1867,'2019/02/20 21:32:44:337',6,0.496755,0.504056,5
1868,'2019/02/20 21:32:44:348',6,0.495902,0.504013,5
1869,'2019/02/20 21:32:44:359',6,0.495902,0.504013,5
1870,'2019/02/20 21:32:44:370',6,0.492823,0.502518,5
1871,'2019/02/20 21:32:44:381',6,0.492823,0.502518,5
1872,'2019/02/20 21:32:44:393',6,0.491625,0.502477,5
1873,'2019/02/20 21:32:44:402',6,0.491625,0.502477,5
1874,'2019/02/20 21:32:44:414',6,0.492876,0.503147,5
1875,'2019/02/20 21:32:44:424',6,0.492876,0.503147,5
1876,'2019/02/20 21:32:44:436',6,0.494045,0.504789,5
1877,'2019/02/20 21:32:44:447',6,0.494087,0.505791,5
1878,'2019/02/20 21:32:44:458',6,0.494087,0.505791,5
1879,'2019/02/20 21:32:44:469',6,0.494003,0.503927,5
1880,'2019/02/20 21:32:44:480',6,0.494003,0.503927,5
1881,'2019/02/20 21:32:44:491',6,0.490226,0.501905,5
1882,'2019/02/20 21:32:44:501',6,0.490226,0.501905,5
1883,'2019/02/20 21:32:44:512',6,0.49421,0.509814,5
1884,'2019/02/20 21:32:44:523',6,0.49421,0.509814,5
1885,'2019/02/20 21:32:44:535',6,0.493231,0.511513,5
1886,'2019/02/20 21:32:44:546',6,0.495156,0.509865,5
1887,'2019/02/20 21:32:44:556',6,0.495156,0.509865,5
1888,'2019/02/20 21:32:44:568',6,0.496006,0.508381,5
1889,'2019/02/20 21:32:44:578',6,0.496006,0.508381,5
1890,'2019/02/20 21:32:44:589',6,0.495156,0.509865,5
1891,'2019/02/20 21:32:44:600',6,0.495156,0.509865,5
1892,'2019/02/20 21:32:44:611',6,0.496056,0.511677,5
1893,'2019/02/20 21:32:44:622',6,0.496056,0.511677,5
1894,'2019/02/20 21:32:44:636',6,0.496081,0.513688,5
1895,'2019/02/20 21:32:44:648',6,0.496921,0.518661,5
1896,'2019/02/20 21:32:44:658',6,0.496921,0.518661,5
1897,'2019/02/20 21:32:44:669',6,0.498391,0.521788,5
1898,'2019/02/20 21:32:44:680',6,0.498391,0.521788,5
1899,'2019/02/20 21:32:44:691',6,0.496938,0.521636,5
1900,'2019/02/20 21:32:44:702',6,0.496938,0.521636,5
1901,'2019/02/20 21:32:44:713',6,0.497692,0.525097,5
1902,'2019/02/20 21:32:44:724',6,0.496921,0.518661,5
1903,'2019/02/20 21:32:44:735',6,0.496921,0.518661,5
1904,'2019/02/20 21:32:44:746',6,0.496105,0.515981,5
1905,'2019/02/20 21:32:44:757',6,0.496105,0.515981,5
1906,'2019/02/20 21:32:44:768',6,0.496105,0.515981,5
1907,'2019/02/20 21:32:44:779',6,0.496105,0.515981,5
1908,'2019/02/20 21:32:44:790',6,0.498385,0.5188,5
1909,'2019/02/20 21:32:44:801',6,0.498385,0.5188,5
1910,'2019/02/20 21:32:44:812',6,0.499743,0.52194,5
1911,'2019/02/20 21:32:44:823',6,0.499072,0.513927,5
1912,'2019/02/20 21:32:44:833',6,0.499072,0.513927,5
1913,'2019/02/20 21:32:44:845',6,0.497635,0.511788,5
1914,'2019/02/20 21:32:44:855',6,0.497635,0.511788,5
1915,'2019/02/20 21:32:44:867',6,0.498372,0.513867,5
1916,'2019/02/20 21:32:44:877',6,0.498372,0.513867,5
1917,'2019/02/20 21:32:44:889',6,0.500434,0.512015,5
1918,'2019/02/20 21:32:44:899',6,0.500434,0.512015,5
1919,'2019/02/20 21:32:44:910',6,0.501107,0.512073,5
1920,'2019/02/20 21:32:44:921',6,0.501107,0.512073,5
1921,'2019/02/20 21:32:44:932',6,0.501767,0.514172,5
1922,'2019/02/20 21:32:44:943',6,0.501094,0.51411,5
1923,'2019/02/20 21:32:44:957',6,0.501094,0.51411,5
1924,'2019/02/20 21:32:44:968',6,0.501144,0.507383,5
1925,'2019/02/20 21:32:44:979',6,0.501144,0.507383,5
1926,'2019/02/20 21:32:44:990',6,0.503198,0.510457,5
1927,'2019/02/20 21:32:45:001',6,0.503198,0.510457,5
1928,'2019/02/20 21:32:45:012',6,0.503897,0.512307,5
1929,'2019/02/20 21:32:45:024',6,0.503897,0.512307,5
1930,'2019/02/20 21:32:45:034',6,0.503897,0.512307,5
1931,'2019/02/20 21:32:45:045',6,0.503198,0.510457,5
